	Akkermansia_muciniphila_ATCC_BAA_835	Alistipes_finegoldii_AHN_2437_DSM_17242	Alistipes_putredinis_DSM_17216	Alistipes_shahii_WAL_8301	Anaerostipes_caccae_DSM_14662	Anaerotruncus_colihominis_DSM_17241	Anaerovorax_odorimutans_DSM_5092	Bacteroides_caccae_CL03T12C61	Bacteroides_coprocola_M16_DSM_17136	Bacteroides_finegoldii_DSM_17565	Bacteroides_fragilis_JCM_11017	Bacteroides_nordii_CL02T12C05	Bacteroides_ovatus_CL02T12C04	Bacteroides_plebeius_M12_DSM_17135	Bacteroides_salyersiae_CL02T12C01	Bacteroides_thetaiotaomicron_NLAE_zl_H492	Bacteroides_uniformis_3978_T3_i	Bacteroides_vulgatus_ATCC_8482	Bifidobacterium_bifidum_ATCC_29521	Bifidobacterium_breve_ACS_071_V_Sch8b	Bifidobacterium_catenulatum_DSM_16992_JCM_1194_LMG_11043	Bifidobacterium_longum_longum_F8	Butyrivibrio_crossotus_DSM_2876	Clostridium_acetobutylicum_DSM_1731	Clostridium_baratii_str_Sullivan	Clostridium_bartlettii_DSM_16795	Clostridium_beijerinckii_AAU1_buffalo	Clostridium_bifermentans_ATCC_638	Clostridium_botulinum_CDC54091	Clostridium_butyricum_60E_3	Clostridium_cadaveris_AGR2141	Clostridium_celatum_DSM_1785	Clostridium_cellulosi_DG5	Clostridium_difficile_DSM_1296	Clostridium_glycolicum_ATCC_14880	Clostridium_hiranonis_TO_931_DSM_13275	Clostridium_leptum_DSM_753	Clostridium_nexile_DSM_1787	Clostridium_orbiscindens_1_3_50AFAA	Clostridium_paraputrificum_AGR2156	Clostridium_perfringens_CPE_F4969	Clostridium_sordellii_8483	Clostridium_sporogenes_ATCC_15579	Clostridium_sticklandii_DSM_519	Clostridium_symbiosum_ATCC_14940	Clostridium_tyrobutyricum_DSM_2637	Collinsella_aerofaciens_ATCC_25986	Collinsella_intestinalis_DSM_13280	Collinsella_stercoris_DSM_13279	Coprococcus_eutactus_ATCC_27759	Dorea_formicigenerans_4_6_53AFAA	Eubacterium_hallii_DSM_3353	Eubacterium_rectale_M104_1	Eubacterium_ventriosum_ATCC_27560	Faecalibacterium_prausnitzii_L2_6	Marvinbryantia_formatexigens_I_52	Papillibacter_cinnamivorans_DSM_12816	Parabacteroides_distasonis_3776_D15_iv	Parabacteroides_goldsteinii_dnLKV18	Parabacteroides_merdae_CL03T12C32	Prevotella_albensis_JCM_12258	Prevotella_copri_CB7_DSM_18205	Prevotella_intermedia_ATCC_25611	Prevotella_melaninogenica_ATCC_25845	Prevotella_oralis_CC98A	Prevotella_salivae_DSM_15606	Prevotella_stercorea_DSM_18206	Prevotella_veroralis_F0319	Roseburia_intestinalis_L1_82	Ruminococcus_bromii_YE282	Ruminococcus_callidus_ATCC_27760	Ruminococcus_gnavus_AGR2154	Ruminococcus_lactaris_CC59_002D	Ruminococcus_obeum_A2_162	Sporobacter_termitidis_DSM_10068	Streptococcus_bovis_AG46	Streptococcus_mitis_SK629	Streptococcus_mutans_B16_P_Sm1	Streptococcus_oralis_ATCC_49296	Subdoligranulum_variabile_DSM_15176
K01401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01409	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2	2	2	2	1	3	1	1	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	0	2	1	1	2	1	2
K01414	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01419	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01420	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	5	2	2	1	0	1	1	1	1	0	1	1	2	1	3	2	1	2	2	0	0	0	1	0	0	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	1
K01421	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	3	1	3	3	2	3	3	3	0	3	2	1	0	3	2	1	3	0	1	2	3	3	0	0	2	2	2	2	3	5	1	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	3	3	1	1	1	1	1	1	0
K01424	0	1	1	1	0	1	0	3	1	3	4	3	3	1	3	3	2	2	0	0	1	0	1	1	1	1	2	1	1	2	1	1	0	1	1	1	0	1	1	1	1	2	1	1	2	0	1	1	1	0	0	0	0	0	1	1	0	1	1	2	1	1	2	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1
K01425	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	2	0	0	0	0	0	0	2	0	0	2	2	0	1	1	0	1	1	0	0	0	0	1	2	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K01426	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K01428	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01429	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01430	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01433	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01436	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	2	1	0	2	2	0	0	0	1	0	0	0	2	0	0	1	1	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01438	0	1	0	0	0	1	0	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01439	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	1	1	0	1	0	2	1	3	1	1	2	1	1	1	0	1	2	1	3	1	0	3	1	2	1	1	0	2	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1
K01442	0	2	1	1	1	0	1	1	1	2	2	3	3	1	2	2	2	2	1	1	1	1	2	0	1	1	1	2	0	1	0	0	0	0	0	1	1	1	1	1	2	0	1	0	0	0	1	0	0	1	0	2	2	2	0	1	0	2	2	1	0	0	0	0	0	0	0	0	3	0	1	1	2	2	0	1	0	0	0	1
K01443	1	0	0	0	1	1	0	2	2	2	3	0	3	2	0	3	0	2	2	2	1	1	0	1	1	0	2	1	1	2	1	2	1	2	1	1	1	1	3	2	1	3	1	0	1	0	1	1	2	0	1	1	1	1	1	2	0	3	3	2	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	1	1	1	1	2
K01444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K01447	3	0	0	0	0	0	2	2	0	1	2	0	2	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0
K01448	1	2	1	1	8	2	4	2	3	2	3	2	4	3	2	4	2	2	0	0	0	0	2	1	5	5	15	8	14	6	9	8	2	11	6	2	3	2	3	4	5	20	10	1	4	2	0	0	0	4	3	4	3	2	0	3	2	2	2	2	1	1	1	1	1	1	1	1	3	2	2	5	3	3	2	0	0	0	0	0
K01449	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	1	3	1	1	1	2	1	1	0	3	0	3	1	1	2	3	0	1	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	3	0	0	0	0	0
K01451	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01455	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K01462	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	2	1	2	2	2	4	2	3	2	1	2	2	2	2	1	1	1	1	1	3	4	4	1	2	2	3	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	2	2	1	2	2
K01464	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	2	1	1	0	1	0	2	2	0	0	0	1	1	0	4	1	0	3	2	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0
K01465	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	3	1	2	1	1	1	1	2	1	1	1	1	2	1	1	4	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
K01466	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
K01468	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K01470	0	0	0	0	0	2	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	1	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
K01473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K01474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K01476	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01478	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K01479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01480	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	2	0	1	2	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1
K01483	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K01485	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01486	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	1	1	1	1	0	1	1	0	1	0	0	3	1	3	1	1	1	2	1	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0
K01487	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	0	1	0	1	0	1	0	0	0	1	1	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1
K01488	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	2	1	0	0	1	1	1	1	0	1	0	0	1	3	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0
K01489	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	2	1	1	3	1	1	2	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	0	1	1	1	1
K01491	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01492	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
K01493	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
K01495	0	1	2	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	0	1	1	1	1	0	0	1	1	2	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	2	1	1	1	1	1	1	1	1	1	0	0	1	0	2	1	1	1	1	1	1	0
K01496	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0
K01499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K01501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01507	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0
K01512	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1
K01515	1	0	0	0	2	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	2	2	2	1	2	1	1	2	2	1	2	2	1	2	3	1	2	2	4	2	1	1	2	1	1	1	3	1	2	2	2	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	2	1	1	1	1	1	1	1
K01520	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	1
K01523	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
K01524	1	0	0	0	0	0	0	1	1	1	1	0	1	2	1	1	0	2	3	2	2	2	0	1	1	3	1	1	0	0	1	2	0	1	2	3	1	0	0	1	1	2	0	3	1	3	1	1	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0
K01531	0	0	0	0	2	0	0	0	2	0	2	2	1	1	0	1	0	0	3	0	0	0	0	0	2	2	4	1	1	2	1	0	0	2	1	0	0	0	2	1	1	2	1	0	0	0	1	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	1	0
K01533	0	1	1	2	0	0	0	1	1	2	2	1	2	1	1	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	2	2	1	3	1	1	1	1	1	0	1	2	2	2	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	3
K01534	1	0	1	0	1	1	1	1	0	1	2	1	1	0	1	1	1	1	0	0	0	0	1	1	1	2	7	1	2	1	1	1	1	1	3	1	1	3	1	1	1	2	2	1	2	1	1	1	1	1	4	1	1	1	2	1	3	1	1	1	2	1	1	1	1	1	1	1	3	1	1	6	1	1	4	1	0	1	0	2
K01537	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	0	0	0	1	1	1	4	2	17	2	7	5	4	4	2	4	4	1	1	2	3	4	3	11	3	2	3	3	1	1	1	1	1	0	0	2	0	2	2	1	1	1	2	2	2	1	1	0	1	1	3	1	2	1	1	1	2	1	1	1	1	2
K01546	2	0	0	1	1	1	0	1	1	2	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	3	1	1	1	3	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
K01547	2	0	0	1	1	1	0	1	1	2	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	2	1	1	1	1	1	3	1	0	1	0	0	1	2	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
K01548	2	0	0	1	1	1	0	1	1	2	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	2	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
K01551	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	5	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01560	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K01565	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01567	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	2	1	0	2	2	0	1	2	0	1	1	4	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0
K01569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
K01571	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	0	0	2	0	1
K01572	1	1	1	0	0	2	1	3	2	2	3	3	3	2	2	3	2	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	1	1	0	0	2	0	1	3	0	0	1	1	1	1	1	0	1	2	2	0	2	3	3	0	1	0	0	0	0	0	0	1	1	1	1	2	1	1	0	0	2	0	2
