Genome	Akkermansia muciniphila ATCC BAA-835	"Alistipes finegoldii AHN 2437, DSM 17242"	Alistipes putredinis DSM 17216	Alistipes shahii WAL 8301	Anaerostipes caccae DSM 14662	Anaerotruncus colihominis DSM 17241	Anaerovorax odorimutans DSM 5092	Bacteroides caccae CL03T12C61	"Bacteroides coprocola M16, DSM 17136"	Bacteroides finegoldii DSM 17565	Bacteroides fragilis JCM 11017	Bacteroides nordii CL02T12C05	Bacteroides ovatus CL02T12C04	"Bacteroides plebeius M12, DSM 17135"	Bacteroides salyersiae CL02T12C01	Bacteroides thetaiotaomicron NLAE-zl-H492	Bacteroides uniformis 3978 T3 i	Bacteroides vulgatus ATCC 8482	Bifidobacterium bifidum ATCC 29521	Bifidobacterium breve ACS-071-V-Sch8b	"Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043"	Bifidobacterium longum longum F8	Butyrivibrio crossotus DSM 2876	Clostridium acetobutylicum DSM 1731	Clostridium baratii str. Sullivan	Clostridium bartlettii DSM 16795	Clostridium beijerinckii AAU1_buffalo	Clostridium bifermentans ATCC 638	Clostridium botulinum CDC54091	Clostridium butyricum 60E.3	Clostridium cadaveris AGR2141	Clostridium celatum DSM 1785	Clostridium cellulosi DG5	Clostridium difficile DSM 1296	Clostridium glycolicum ATCC 14880	Clostridium hiranonis TO-931 DSM 13275	Clostridium leptum DSM 753	Clostridium nexile DSM 1787	Clostridium orbiscindens 1_3_50AFAA	Clostridium paraputrificum AGR2156	Clostridium perfringens CPE F4969	Clostridium sordellii 8483	Clostridium sporogenes ATCC 15579	Clostridium sticklandii DSM 519	Clostridium symbiosum ATCC 14940	Clostridium tyrobutyricum DSM 2637	Collinsella aerofaciens ATCC 25986	Collinsella intestinalis DSM 13280	Collinsella stercoris DSM 13279	Coprococcus eutactus ATCC 27759	Dorea formicigenerans 4_6_53AFAA	Eubacterium hallii DSM 3353	Eubacterium rectale M104/1	Eubacterium ventriosum ATCC 27560	Faecalibacterium prausnitzii L2-6	Marvinbryantia formatexigens I-52	Papillibacter cinnamivorans DSM 12816	Parabacteroides distasonis 3776 D15 iv	Parabacteroides goldsteinii dnLKV18	Parabacteroides merdae CL03T12C32	Prevotella albensis JCM 12258	"Prevotella copri CB7, DSM 18205"	Prevotella intermedia ATCC 25611	Prevotella melaninogenica ATCC 25845	Prevotella oralis CC98A	Prevotella salivae DSM 15606	Prevotella stercorea DSM 18206	Prevotella veroralis F0319	Roseburia intestinalis L1-82	Ruminococcus bromii YE282	Ruminococcus callidus ATCC 27760	Ruminococcus gnavus AGR2154	Ruminococcus lactaris CC59_002D	Ruminococcus obeum A2-162	Sporobacter termitidis DSM 10068	Streptococcus bovis AG46	Streptococcus mitis SK629	Streptococcus mutans B16 P Sm1	Streptococcus oralis ATCC 49296	Subdoligranulum variabile DSM 15176
Clostridium difficile DSM 1296	0.41	0.37	0.4	0.37	0.86	0.44	0.47	0.38	0.41	0.41	0.36	0.36	0.34	0.4	0.36	0.37	0.36	0.38	0.49	0.47	0.41	0.39	0.47	0.69	0.8	0.62	0.84	0.7	0.67	0.81	0.71	0.67	0.46	1	0.75	0.8	0.48	0.51	0.49	0.83	0.68	0.94	0.69	0.52	0.48	0.64	0.68	0.69	0.82	0.47	0.49	0.52	0.55	0.67	0.55	0.42	0.46	0.42	0.39	0.4	0.38	0.4	0.41	0.39	0.4	0.39	0.4	0.39	0.44	0.44	0.48	0.62	0.55	0.49	0.46	0.59	0.56	0.66	0.57	0.48
Clostridium glycolicum ATCC 14880	0.61	0.53	0.59	0.53	0.55	0.62	0.72	0.54	0.6	0.6	0.55	0.53	0.48	0.58	0.54	0.53	0.53	0.55	0.64	0.64	0.62	0.6	0.69	0.75	0.79	0.84	0.67	0.87	0.73	0.76	0.81	0.77	0.67	0.75	1	0.84	0.67	0.71	0.68	0.75	0.78	0.85	0.84	0.77	0.7	0.76	0.72	0.73	0.63	0.67	0.75	0.73	0.73	0.76	0.69	0.62	0.62	0.6	0.56	0.57	0.58	0.6	0.62	0.59	0.61	0.59	0.59	0.6	0.65	0.67	0.69	0.74	0.73	0.7	0.71	0.68	0.72	0.69	0.72	0.65
Clostridium hiranonis TO-931 DSM 13275	0.56	0.5	0.56	0.5	0.65	0.54	0.61	0.51	0.57	0.57	0.51	0.49	0.45	0.56	0.49	0.49	0.49	0.52	0.62	0.62	0.6	0.55	0.66	0.72	0.79	0.74	0.68	0.79	0.7	0.75	0.79	0.75	0.6	0.8	0.84	1	0.63	0.68	0.61	0.77	0.77	0.85	0.78	0.68	0.6	0.72	0.74	0.77	0.72	0.63	0.68	0.7	0.72	0.75	0.71	0.55	0.56	0.58	0.54	0.56	0.55	0.58	0.59	0.57	0.56	0.56	0.58	0.56	0.59	0.65	0.66	0.71	0.7	0.61	0.58	0.68	0.71	0.72	0.7	0.61
Clostridium leptum DSM 753	0.6	0.54	0.55	0.55	0.36	0.67	0.68	0.58	0.62	0.61	0.55	0.56	0.55	0.61	0.56	0.58	0.55	0.58	0.62	0.64	0.65	0.63	0.72	0.67	0.65	0.68	0.49	0.64	0.55	0.62	0.66	0.69	0.81	0.48	0.67	0.63	1	0.77	0.69	0.58	0.66	0.57	0.66	0.64	0.69	0.66	0.63	0.65	0.47	0.74	0.7	0.71	0.74	0.72	0.68	0.72	0.63	0.64	0.6	0.6	0.59	0.61	0.55	0.54	0.57	0.57	0.56	0.54	0.73	0.72	0.76	0.74	0.74	0.74	0.65	0.64	0.66	0.62	0.68	0.69
Clostridium nexile DSM 1787	0.65	0.6	0.6	0.57	0.34	0.67	0.74	0.64	0.67	0.68	0.6	0.61	0.57	0.65	0.59	0.61	0.59	0.63	0.71	0.68	0.7	0.65	0.81	0.7	0.72	0.73	0.49	0.68	0.58	0.65	0.72	0.79	0.75	0.51	0.71	0.68	0.77	1	0.73	0.66	0.75	0.6	0.73	0.68	0.72	0.7	0.69	0.7	0.55	0.79	0.81	0.8	0.83	0.8	0.78	0.75	0.64	0.68	0.66	0.69	0.6	0.65	0.6	0.61	0.61	0.61	0.64	0.6	0.79	0.78	0.77	0.84	0.86	0.8	0.64	0.7	0.74	0.66	0.77	0.79
Clostridium orbiscindens 1_3_50AFAA	0.59	0.53	0.58	0.54	0.32	0.69	0.72	0.54	0.58	0.59	0.5	0.52	0.48	0.56	0.49	0.52	0.52	0.54	0.6	0.61	0.61	0.6	0.7	0.66	0.63	0.71	0.48	0.65	0.6	0.59	0.71	0.67	0.67	0.49	0.68	0.61	0.69	0.73	1	0.57	0.65	0.58	0.72	0.71	0.69	0.68	0.63	0.62	0.46	0.69	0.75	0.69	0.72	0.68	0.71	0.69	0.71	0.6	0.54	0.56	0.55	0.6	0.55	0.54	0.55	0.56	0.56	0.53	0.65	0.71	0.67	0.71	0.72	0.72	0.71	0.61	0.66	0.62	0.7	0.69
Clostridium paraputrificum AGR2156	0.55	0.47	0.49	0.46	0.7	0.51	0.61	0.5	0.53	0.54	0.48	0.48	0.45	0.52	0.49	0.49	0.49	0.5	0.62	0.61	0.56	0.53	0.63	0.78	0.91	0.69	0.77	0.73	0.68	0.87	0.77	0.83	0.57	0.83	0.75	0.77	0.58	0.66	0.57	1	0.79	0.84	0.75	0.56	0.57	0.7	0.74	0.75	0.82	0.63	0.62	0.65	0.68	0.74	0.68	0.55	0.54	0.55	0.52	0.53	0.5	0.52	0.51	0.5	0.52	0.52	0.51	0.51	0.59	0.58	0.6	0.73	0.68	0.61	0.54	0.73	0.7	0.73	0.7	0.63
Clostridium perfringens CPE F4969	0.6	0.54	0.55	0.53	0.53	0.6	0.65	0.6	0.61	0.61	0.57	0.55	0.55	0.6	0.55	0.57	0.56	0.58	0.67	0.65	0.63	0.59	0.71	0.76	0.86	0.74	0.62	0.79	0.68	0.78	0.81	0.85	0.65	0.68	0.78	0.77	0.66	0.75	0.65	0.79	1	0.77	0.77	0.65	0.67	0.74	0.72	0.72	0.64	0.69	0.71	0.71	0.75	0.76	0.71	0.63	0.6	0.62	0.62	0.63	0.55	0.58	0.59	0.59	0.59	0.6	0.6	0.6	0.7	0.66	0.7	0.78	0.76	0.71	0.59	0.69	0.72	0.68	0.73	0.67
Clostridium sordellii 8483	0.5	0.46	0.5	0.46	0.75	0.53	0.58	0.47	0.51	0.51	0.47	0.46	0.42	0.5	0.45	0.46	0.46	0.48	0.55	0.54	0.5	0.47	0.57	0.74	0.84	0.72	0.8	0.85	0.75	0.83	0.8	0.75	0.55	0.94	0.85	0.85	0.57	0.6	0.58	0.84	0.77	1	0.79	0.65	0.57	0.71	0.71	0.73	0.78	0.56	0.61	0.62	0.64	0.73	0.64	0.51	0.54	0.52	0.48	0.5	0.49	0.5	0.52	0.5	0.51	0.51	0.5	0.51	0.54	0.54	0.57	0.7	0.64	0.58	0.57	0.65	0.64	0.69	0.64	0.56
Clostridium sporogenes ATCC 15579	0.61	0.55	0.59	0.54	0.47	0.6	0.72	0.55	0.6	0.61	0.53	0.53	0.49	0.58	0.51	0.54	0.54	0.55	0.63	0.61	0.62	0.59	0.7	0.77	0.78	0.78	0.63	0.83	0.84	0.75	0.81	0.77	0.67	0.69	0.84	0.78	0.66	0.73	0.72	0.75	0.77	0.79	1	0.73	0.64	0.78	0.71	0.71	0.6	0.69	0.74	0.7	0.73	0.73	0.71	0.62	0.64	0.62	0.56	0.59	0.56	0.61	0.6	0.59	0.58	0.59	0.6	0.58	0.64	0.67	0.7	0.72	0.73	0.67	0.69	0.68	0.71	0.68	0.73	0.65
Clostridium sticklandii DSM 519	0.6	0.6	0.67	0.59	0.29	0.65	0.72	0.58	0.64	0.62	0.56	0.55	0.5	0.61	0.54	0.55	0.55	0.59	0.6	0.6	0.61	0.58	0.68	0.65	0.63	0.75	0.46	0.75	0.62	0.57	0.7	0.68	0.65	0.52	0.77	0.68	0.64	0.68	0.71	0.56	0.65	0.65	0.73	1	0.63	0.66	0.6	0.59	0.43	0.67	0.73	0.7	0.69	0.65	0.66	0.61	0.65	0.62	0.56	0.6	0.61	0.64	0.66	0.64	0.65	0.61	0.64	0.63	0.64	0.66	0.68	0.66	0.71	0.68	0.69	0.59	0.65	0.58	0.67	0.63
Clostridium symbiosum ATCC 14940	0.53	0.48	0.49	0.47	0.35	0.74	0.64	0.49	0.52	0.52	0.49	0.48	0.44	0.51	0.48	0.49	0.48	0.51	0.56	0.61	0.58	0.59	0.69	0.66	0.64	0.66	0.51	0.64	0.52	0.62	0.68	0.68	0.69	0.48	0.7	0.6	0.69	0.72	0.69	0.57	0.67	0.57	0.64	0.63	1	0.66	0.59	0.61	0.45	0.68	0.72	0.72	0.72	0.68	0.67	0.68	0.64	0.57	0.53	0.55	0.5	0.53	0.52	0.5	0.52	0.51	0.5	0.5	0.66	0.64	0.65	0.7	0.69	0.77	0.65	0.59	0.62	0.59	0.63	0.69
Clostridium tyrobutyricum DSM 2637	0.58	0.5	0.53	0.49	0.52	0.59	0.69	0.53	0.58	0.56	0.52	0.5	0.47	0.57	0.49	0.51	0.51	0.52	0.64	0.63	0.63	0.6	0.72	0.8	0.75	0.74	0.65	0.71	0.66	0.78	0.75	0.77	0.72	0.64	0.76	0.72	0.66	0.7	0.68	0.7	0.74	0.71	0.78	0.66	0.66	1	0.71	0.7	0.6	0.72	0.7	0.77	0.76	0.75	0.71	0.6	0.67	0.6	0.53	0.57	0.56	0.6	0.57	0.55	0.57	0.56	0.56	0.54	0.67	0.7	0.72	0.7	0.74	0.7	0.71	0.68	0.7	0.7	0.7	0.65
Collinsella aerofaciens ATCC 25986	0.56	0.5	0.52	0.48	0.58	0.55	0.61	0.48	0.54	0.53	0.46	0.48	0.43	0.54	0.47	0.48	0.47	0.5	0.71	0.69	0.67	0.65	0.7	0.74	0.76	0.72	0.65	0.65	0.6	0.76	0.72	0.74	0.65	0.68	0.72	0.74	0.63	0.69	0.63	0.74	0.72	0.71	0.71	0.6	0.59	0.71	1	0.85	0.79	0.67	0.7	0.72	0.75	0.78	0.73	0.59	0.59	0.56	0.5	0.53	0.54	0.56	0.53	0.53	0.53	0.53	0.55	0.52	0.63	0.69	0.68	0.72	0.74	0.65	0.56	0.74	0.72	0.72	0.72	0.71
Collinsella intestinalis DSM 13280	0.57	0.48	0.54	0.49	0.59	0.54	0.62	0.48	0.56	0.55	0.48	0.48	0.43	0.53	0.48	0.46	0.48	0.49	0.72	0.71	0.69	0.66	0.72	0.73	0.76	0.68	0.63	0.67	0.57	0.75	0.72	0.73	0.66	0.69	0.73	0.77	0.65	0.7	0.62	0.75	0.72	0.73	0.71	0.59	0.61	0.7	0.85	1	0.84	0.69	0.7	0.7	0.73	0.81	0.71	0.62	0.6	0.55	0.52	0.54	0.54	0.56	0.56	0.54	0.56	0.54	0.55	0.55	0.64	0.69	0.68	0.71	0.72	0.65	0.56	0.73	0.76	0.75	0.77	0.66
Collinsella stercoris DSM 13279	0.44	0.39	0.38	0.39	0.79	0.41	0.44	0.38	0.43	0.43	0.39	0.38	0.36	0.41	0.39	0.38	0.38	0.39	0.6	0.57	0.52	0.49	0.53	0.67	0.77	0.56	0.75	0.57	0.53	0.79	0.64	0.67	0.48	0.82	0.63	0.72	0.47	0.55	0.46	0.82	0.64	0.78	0.6	0.43	0.45	0.6	0.79	0.84	1	0.52	0.52	0.55	0.6	0.71	0.59	0.47	0.43	0.42	0.41	0.42	0.4	0.42	0.4	0.41	0.41	0.4	0.43	0.41	0.49	0.5	0.51	0.63	0.59	0.5	0.4	0.67	0.62	0.7	0.63	0.57
Coprococcus eutactus ATCC 27759	0.63	0.57	0.57	0.55	0.33	0.64	0.72	0.6	0.65	0.64	0.58	0.59	0.55	0.64	0.58	0.58	0.59	0.59	0.69	0.7	0.72	0.67	0.85	0.74	0.68	0.71	0.47	0.64	0.54	0.66	0.67	0.74	0.76	0.47	0.67	0.63	0.74	0.79	0.69	0.63	0.69	0.56	0.69	0.67	0.68	0.72	0.67	0.69	0.52	1	0.78	0.81	0.83	0.79	0.76	0.72	0.68	0.66	0.62	0.64	0.61	0.65	0.59	0.59	0.61	0.6	0.61	0.59	0.79	0.78	0.82	0.74	0.83	0.78	0.64	0.72	0.73	0.66	0.73	0.73
Dorea formicigenerans 4_6_53AFAA	0.62	0.55	0.59	0.54	0.32	0.66	0.74	0.58	0.63	0.64	0.57	0.57	0.52	0.63	0.56	0.56	0.58	0.58	0.67	0.69	0.7	0.67	0.81	0.7	0.68	0.73	0.47	0.69	0.58	0.63	0.75	0.72	0.71	0.49	0.75	0.68	0.7	0.81	0.75	0.62	0.71	0.61	0.74	0.73	0.72	0.7	0.7	0.7	0.52	0.78	1	0.79	0.82	0.79	0.77	0.73	0.67	0.62	0.6	0.61	0.62	0.64	0.61	0.59	0.62	0.62	0.61	0.61	0.75	0.77	0.75	0.8	0.82	0.77	0.71	0.7	0.74	0.67	0.75	0.73
Eubacterium hallii DSM 3353	0.61	0.56	0.58	0.54	0.42	0.68	0.75	0.58	0.64	0.62	0.57	0.56	0.51	0.63	0.55	0.57	0.55	0.58	0.67	0.67	0.68	0.63	0.82	0.74	0.7	0.76	0.55	0.67	0.6	0.69	0.71	0.75	0.72	0.52	0.73	0.7	0.71	0.8	0.69	0.65	0.71	0.62	0.7	0.7	0.72	0.77	0.72	0.7	0.55	0.81	0.79	1	0.83	0.82	0.77	0.68	0.67	0.66	0.6	0.61	0.62	0.65	0.62	0.61	0.62	0.61	0.62	0.61	0.76	0.77	0.78	0.76	0.84	0.79	0.66	0.7	0.72	0.69	0.72	0.74
Eubacterium rectale M104/1	0.65	0.6	0.59	0.58	0.42	0.66	0.74	0.6	0.68	0.66	0.59	0.58	0.57	0.67	0.59	0.61	0.6	0.62	0.74	0.75	0.75	0.72	0.88	0.76	0.74	0.76	0.54	0.69	0.59	0.72	0.73	0.8	0.78	0.55	0.73	0.72	0.74	0.83	0.72	0.68	0.75	0.64	0.73	0.69	0.72	0.76	0.75	0.73	0.6	0.83	0.82	0.83	1	0.82	0.82	0.74	0.68	0.69	0.63	0.65	0.66	0.68	0.62	0.65	0.63	0.64	0.66	0.63	0.84	0.8	0.83	0.82	0.87	0.8	0.64	0.76	0.79	0.72	0.79	0.8
Eubacterium ventriosum ATCC 27560	0.58	0.54	0.56	0.51	0.58	0.65	0.7	0.55	0.62	0.61	0.53	0.53	0.5	0.6	0.54	0.54	0.56	0.54	0.71	0.73	0.7	0.66	0.81	0.76	0.78	0.72	0.64	0.69	0.64	0.76	0.75	0.78	0.75	0.67	0.76	0.75	0.72	0.8	0.68	0.74	0.76	0.73	0.73	0.65	0.68	0.75	0.78	0.81	0.71	0.79	0.79	0.82	0.82	1	0.75	0.71	0.67	0.62	0.58	0.6	0.59	0.63	0.59	0.57	0.6	0.58	0.59	0.58	0.76	0.77	0.77	0.8	0.83	0.75	0.61	0.75	0.75	0.74	0.76	0.75
Faecalibacterium prausnitzii L2-6	0.61	0.6	0.59	0.58	0.42	0.63	0.72	0.61	0.67	0.67	0.6	0.6	0.57	0.66	0.59	0.6	0.61	0.62	0.7	0.69	0.68	0.64	0.8	0.72	0.72	0.72	0.56	0.66	0.58	0.68	0.72	0.76	0.68	0.55	0.69	0.71	0.68	0.78	0.71	0.68	0.71	0.64	0.71	0.66	0.67	0.71	0.73	0.71	0.59	0.76	0.77	0.77	0.82	0.75	1	0.72	0.65	0.68	0.61	0.63	0.64	0.68	0.63	0.63	0.62	0.64	0.64	0.61	0.75	0.76	0.74	0.77	0.81	0.75	0.62	0.69	0.74	0.72	0.75	0.79
Marvinbryantia formatexigens I-52	0.56	0.57	0.51	0.57	0.29	0.61	0.64	0.58	0.69	0.7	0.59	0.64	0.64	0.62	0.66	0.62	0.69	0.6	0.6	0.69	0.67	0.66	0.7	0.64	0.62	0.63	0.47	0.61	0.48	0.58	0.63	0.67	0.7	0.42	0.62	0.55	0.72	0.75	0.69	0.55	0.63	0.51	0.62	0.61	0.68	0.6	0.59	0.62	0.47	0.72	0.73	0.68	0.74	0.71	0.72	1	0.57	0.63	0.62	0.59	0.58	0.63	0.5	0.52	0.58	0.58	0.53	0.53	0.84	0.63	0.68	0.78	0.71	0.78	0.6	0.62	0.66	0.59	0.67	0.79
Papillibacter cinnamivorans DSM 12816	0.56	0.48	0.56	0.47	0.3	0.6	0.66	0.48	0.53	0.53	0.47	0.47	0.43	0.52	0.47	0.47	0.47	0.48	0.57	0.59	0.6	0.56	0.71	0.67	0.58	0.63	0.45	0.57	0.55	0.57	0.63	0.64	0.69	0.46	0.62	0.56	0.63	0.64	0.71	0.54	0.6	0.54	0.64	0.65	0.64	0.67	0.59	0.6	0.43	0.68	0.67	0.67	0.68	0.67	0.65	0.57	1	0.56	0.51	0.53	0.52	0.54	0.53	0.51	0.54	0.52	0.51	0.52	0.62	0.69	0.68	0.6	0.67	0.64	0.68	0.6	0.62	0.59	0.64	0.6
Parabacteroides distasonis 3776 D15 iv	0.69	0.78	0.72	0.77	0.26	0.57	0.63	0.8	0.85	0.84	0.8	0.81	0.76	0.82	0.79	0.81	0.78	0.81	0.66	0.63	0.65	0.63	0.7	0.62	0.59	0.63	0.43	0.62	0.54	0.56	0.59	0.67	0.63	0.42	0.6	0.58	0.64	0.68	0.6	0.55	0.62	0.52	0.62	0.62	0.57	0.6	0.56	0.55	0.42	0.66	0.62	0.66	0.69	0.62	0.68	0.63	0.56	1	0.86	0.88	0.77	0.82	0.76	0.8	0.78	0.79	0.78	0.76	0.69	0.63	0.66	0.65	0.69	0.63	0.53	0.57	0.61	0.56	0.63	0.67
Parabacteroides goldsteinii dnLKV18	0.71	0.75	0.66	0.7	0.25	0.5	0.55	0.84	0.82	0.83	0.82	0.84	0.82	0.85	0.85	0.85	0.78	0.85	0.64	0.63	0.63	0.59	0.63	0.58	0.56	0.57	0.38	0.59	0.48	0.51	0.55	0.63	0.57	0.39	0.56	0.54	0.6	0.66	0.54	0.52	0.62	0.48	0.56	0.56	0.53	0.53	0.5	0.52	0.41	0.62	0.6	0.6	0.63	0.58	0.61	0.62	0.51	0.86	1	0.92	0.71	0.72	0.66	0.72	0.74	0.76	0.73	0.71	0.68	0.53	0.59	0.67	0.63	0.6	0.5	0.56	0.58	0.51	0.59	0.61
Parabacteroides merdae CL03T12C32	0.73	0.78	0.72	0.74	0.25	0.52	0.57	0.87	0.85	0.85	0.83	0.84	0.81	0.85	0.83	0.84	0.79	0.87	0.67	0.62	0.65	0.61	0.66	0.6	0.59	0.61	0.39	0.6	0.5	0.54	0.57	0.66	0.59	0.4	0.57	0.56	0.6	0.69	0.56	0.53	0.63	0.5	0.59	0.6	0.55	0.57	0.53	0.54	0.42	0.64	0.61	0.61	0.65	0.6	0.63	0.59	0.53	0.88	0.92	1	0.76	0.76	0.71	0.77	0.77	0.79	0.77	0.74	0.67	0.56	0.61	0.67	0.65	0.62	0.52	0.55	0.59	0.52	0.6	0.62
Prevotella albensis JCM 12258	0.7	0.75	0.78	0.74	0.25	0.5	0.64	0.76	0.86	0.81	0.78	0.77	0.71	0.83	0.77	0.75	0.76	0.8	0.62	0.61	0.64	0.62	0.67	0.59	0.55	0.65	0.42	0.57	0.47	0.53	0.56	0.6	0.59	0.38	0.58	0.55	0.59	0.6	0.55	0.5	0.55	0.49	0.56	0.61	0.5	0.56	0.54	0.54	0.4	0.61	0.62	0.62	0.66	0.59	0.64	0.58	0.52	0.77	0.71	0.76	1	0.9	0.84	0.85	0.87	0.89	0.83	0.85	0.65	0.63	0.64	0.61	0.64	0.59	0.54	0.57	0.58	0.53	0.59	0.61
"Prevotella copri CB7, DSM 18205"	0.72	0.76	0.79	0.76	0.25	0.53	0.68	0.81	0.88	0.84	0.77	0.78	0.73	0.83	0.77	0.78	0.78	0.8	0.64	0.63	0.66	0.62	0.7	0.62	0.57	0.67	0.43	0.59	0.51	0.55	0.58	0.64	0.62	0.4	0.6	0.58	0.61	0.65	0.6	0.52	0.58	0.5	0.61	0.64	0.53	0.6	0.56	0.56	0.42	0.65	0.64	0.65	0.68	0.63	0.68	0.63	0.54	0.82	0.72	0.76	0.9	1	0.86	0.86	0.87	0.88	0.86	0.84	0.69	0.68	0.68	0.66	0.68	0.62	0.54	0.59	0.61	0.58	0.63	0.65
Prevotella intermedia ATCC 25611	0.68	0.73	0.85	0.74	0.24	0.5	0.67	0.74	0.79	0.76	0.72	0.7	0.61	0.77	0.69	0.68	0.67	0.72	0.58	0.55	0.58	0.55	0.66	0.58	0.55	0.66	0.41	0.62	0.51	0.52	0.62	0.61	0.57	0.41	0.62	0.59	0.55	0.6	0.55	0.51	0.59	0.52	0.6	0.66	0.52	0.57	0.53	0.56	0.4	0.59	0.61	0.62	0.62	0.59	0.63	0.5	0.53	0.76	0.66	0.71	0.84	0.86	1	0.92	0.88	0.86	0.89	0.93	0.57	0.63	0.61	0.57	0.63	0.56	0.52	0.56	0.61	0.54	0.61	0.56
Prevotella melaninogenica ATCC 25845	0.71	0.79	0.81	0.77	0.23	0.49	0.65	0.79	0.83	0.8	0.77	0.76	0.68	0.83	0.74	0.77	0.7	0.8	0.64	0.58	0.61	0.58	0.67	0.57	0.54	0.67	0.4	0.6	0.49	0.52	0.6	0.64	0.56	0.39	0.59	0.57	0.54	0.61	0.54	0.5	0.59	0.5	0.59	0.64	0.5	0.55	0.53	0.54	0.41	0.59	0.59	0.61	0.65	0.57	0.63	0.52	0.51	0.8	0.72	0.77	0.85	0.86	0.92	1	0.88	0.9	0.94	0.94	0.6	0.6	0.61	0.59	0.65	0.57	0.5	0.55	0.61	0.51	0.61	0.58
Prevotella oralis CC98A	0.72	0.78	0.8	0.77	0.25	0.5	0.65	0.8	0.84	0.83	0.78	0.8	0.73	0.8	0.8	0.76	0.77	0.77	0.61	0.62	0.64	0.61	0.65	0.6	0.57	0.67	0.41	0.6	0.48	0.53	0.59	0.62	0.59	0.4	0.61	0.56	0.57	0.61	0.55	0.52	0.59	0.51	0.58	0.65	0.52	0.57	0.53	0.56	0.41	0.61	0.62	0.62	0.63	0.6	0.62	0.58	0.54	0.78	0.74	0.77	0.87	0.87	0.88	0.88	1	0.91	0.85	0.9	0.63	0.62	0.63	0.61	0.63	0.58	0.54	0.59	0.61	0.55	0.62	0.61
Prevotella salivae DSM 15606	0.73	0.81	0.8	0.78	0.25	0.49	0.63	0.84	0.86	0.83	0.82	0.81	0.77	0.86	0.81	0.81	0.78	0.83	0.62	0.6	0.62	0.59	0.66	0.6	0.56	0.65	0.41	0.6	0.48	0.54	0.6	0.62	0.58	0.39	0.59	0.56	0.57	0.61	0.56	0.52	0.6	0.51	0.59	0.61	0.51	0.56	0.53	0.54	0.4	0.6	0.62	0.61	0.64	0.58	0.64	0.58	0.52	0.79	0.76	0.79	0.89	0.88	0.86	0.9	0.91	1	0.88	0.92	0.65	0.61	0.63	0.64	0.64	0.58	0.53	0.57	0.6	0.53	0.61	0.59
Prevotella stercorea DSM 18206	0.73	0.79	0.81	0.75	0.24	0.49	0.65	0.81	0.83	0.79	0.76	0.75	0.69	0.83	0.73	0.77	0.69	0.8	0.65	0.58	0.61	0.57	0.68	0.57	0.56	0.67	0.39	0.6	0.49	0.52	0.6	0.65	0.56	0.4	0.59	0.58	0.56	0.64	0.56	0.51	0.6	0.5	0.6	0.64	0.5	0.56	0.55	0.55	0.43	0.61	0.61	0.62	0.66	0.59	0.64	0.53	0.51	0.78	0.73	0.77	0.83	0.86	0.89	0.94	0.85	0.88	1	0.9	0.61	0.61	0.61	0.63	0.68	0.59	0.51	0.56	0.61	0.52	0.61	0.58
Prevotella veroralis F0319	0.71	0.77	0.82	0.75	0.24	0.47	0.64	0.77	0.82	0.78	0.78	0.75	0.68	0.82	0.75	0.75	0.7	0.76	0.6	0.58	0.6	0.56	0.65	0.58	0.54	0.65	0.39	0.61	0.47	0.51	0.61	0.61	0.56	0.39	0.6	0.56	0.54	0.6	0.53	0.51	0.6	0.51	0.58	0.63	0.5	0.54	0.52	0.55	0.41	0.59	0.61	0.61	0.63	0.58	0.61	0.53	0.52	0.76	0.71	0.74	0.85	0.84	0.93	0.94	0.9	0.92	0.9	1	0.59	0.6	0.61	0.59	0.62	0.55	0.5	0.57	0.61	0.53	0.61	0.56
Roseburia intestinalis L1-82	0.61	0.61	0.55	0.59	0.3	0.61	0.69	0.65	0.73	0.72	0.64	0.66	0.68	0.68	0.68	0.66	0.7	0.65	0.68	0.73	0.73	0.7	0.8	0.7	0.66	0.66	0.46	0.63	0.53	0.64	0.65	0.72	0.76	0.44	0.65	0.59	0.73	0.79	0.65	0.59	0.7	0.54	0.64	0.64	0.66	0.67	0.63	0.64	0.49	0.79	0.75	0.76	0.84	0.76	0.75	0.84	0.62	0.69	0.68	0.67	0.65	0.69	0.57	0.6	0.63	0.65	0.61	0.59	1	0.71	0.77	0.81	0.79	0.79	0.58	0.66	0.68	0.61	0.69	0.79
Ruminococcus bromii YE282	0.63	0.56	0.59	0.56	0.31	0.61	0.73	0.56	0.61	0.6	0.55	0.52	0.5	0.6	0.51	0.53	0.53	0.55	0.69	0.67	0.7	0.65	0.84	0.68	0.63	0.7	0.43	0.6	0.55	0.6	0.66	0.7	0.74	0.44	0.67	0.65	0.72	0.78	0.71	0.58	0.66	0.54	0.67	0.66	0.64	0.7	0.69	0.69	0.5	0.78	0.77	0.77	0.8	0.77	0.76	0.63	0.69	0.63	0.53	0.56	0.63	0.68	0.63	0.6	0.62	0.61	0.61	0.6	0.71	1	0.81	0.7	0.82	0.7	0.63	0.7	0.71	0.69	0.74	0.71
